split,system,seed,video,n_frames,accuracy,macro_f1,f1_anesthesia,f1_closure,f1_design,f1_disinfection,f1_dissection,f1_dressing,f1_hemostasis,f1_incision,f1_irrigation,n_gt_anesthesia,n_gt_closure,n_gt_design,n_gt_disinfection,n_gt_dissection,n_gt_dressing,n_gt_hemostasis,n_gt_incision,n_gt_irrigation
val,bboxROI,456,10,997,0.9458375125376128,0.7941868313724832,1.0,0.9676855895196507,0.9090909090909091,0.0,0.9582577132486388,0.0,0.9107142857142856,0.8135593220338982,0.0,35,557,18,0,276,24,57,30,0
val,maskROI,42,09,518,0.9961389961389961,0.995671986365045,0.9919999999999999,0.0,1.0,0.0,0.9978308026030369,0.0,0.0,0.9928571428571429,0.0,63,0,85,0,230,0,0,140,0
val,maskROI,42,10,997,0.9518555667001003,0.8073654274009711,1.0,0.969485614646905,0.9090909090909091,0.0,0.9618874773139746,0.0,0.9636363636363636,0.847457627118644,0.0,35,557,18,0,276,24,57,30,0
val,maskROI,123,09,518,0.9980694980694981,0.9971103202846975,0.9919999999999999,0.0,1.0,0.0,1.0,0.0,0.0,0.9964412811387899,0.0,63,0,85,0,230,0,0,140,0
val,maskROI,123,10,997,0.9488465396188566,0.8026472893780355,1.0,0.9668989547038328,0.9090909090909091,0.0,0.9600000000000001,0.0,0.954954954954955,0.8275862068965518,0.0,35,557,18,0,276,24,57,30,0
val,maskROI,456,09,518,0.9980694980694981,0.9985616433030889,1.0,0.0,1.0,0.0,0.9978308026030369,0.0,0.0,0.996415770609319,0.0,63,0,85,0,230,0,0,140,0
val,maskROI,456,10,997,0.9478435305917753,0.799374994316137,1.0,0.9675723049956179,0.9090909090909091,0.0,0.956989247311828,0.0,0.954954954954955,0.8070175438596491,0.0,35,557,18,0,276,24,57,30,0
val,randROI,42,09,518,0.9980694980694981,0.9971103202846975,0.9919999999999999,0.0,1.0,0.0,1.0,0.0,0.0,0.9964412811387899,0.0,63,0,85,0,230,0,0,140,0
val,randROI,42,10,997,0.9478435305917753,0.8019574525842367,1.0,0.9661164205039097,0.9090909090909091,0.0,0.9597069597069596,0.0,0.9454545454545454,0.8333333333333334,0.0,35,557,18,0,276,24,57,30,0
val,randROI,123,09,518,0.9961389961389961,0.995671986365045,0.9919999999999999,0.0,1.0,0.0,0.9978308026030369,0.0,0.0,0.9928571428571429,0.0,63,0,85,0,230,0,0,140,0
val,randROI,123,10,997,0.9468405215646941,0.7972339931765209,1.0,0.9660574412532636,0.9090909090909091,0.0,0.9582577132486388,0.0,0.9541284403669724,0.793103448275862,0.0,35,557,18,0,276,24,57,30,0
val,randROI,456,09,518,0.9942084942084942,0.9942295768747382,0.9919999999999999,0.0,1.0,0.0,0.9956709956709957,0.0,0.0,0.989247311827957,0.0,63,0,85,0,230,0,0,140,0
val,randROI,456,10,997,0.9438314944834504,0.7940011043352487,1.0,0.9644405897658282,0.9090909090909091,0.0,0.9557195571955719,0.0,0.9217391304347825,0.8070175438596491,0.0,35,557,18,0,276,24,57,30,0
test,base,42,04,1329,0.7509405568096313,0.6353583574716869,1.0,0.8608458390177354,0.0,0.0,0.623222748815166,0.0,0.0,0.8461538461538461,0.48192771084337355,51,631,0,0,510,0,46,42,49
