contrast,split,metric,is_prereg_phase,diff,mean_a,mean_b,sd_A,sd_B,SE,df,t,p,CI_low,CI_high,welch_exceeds,n_videos,n_videos_same_sign,all_videos_same_sign,p_sign_under_null,bootstrap_CI_low,bootstrap_CI_high,bootstrap_crosses_zero
2-1,test,hemostasis,True,0.0636870741818486,0.7668318735681998,0.7031447993863512,0.06010162961051424,0.025553510643076177,0.037705825314864584,2.7002025050342127,1.68905132429873,0.19981142129980228,-0.06421046837414496,0.19158461673784216,False,3,2,False,0.25,0.0,0.0906149165035608,True
2-1,test,incision,True,0.04383886627869593,0.9692863595302619,0.925447493251566,0.00594843308194468,0.00968812214990257,0.006563626206140594,3.3203060528770387,6.679061985230439,0.004942201684180365,0.02404544605954053,0.06363228649785133,True,3,3,True,0.25,0.017954047460610023,0.11007685125332178,False
2-1,test,irrigation,False,0.14352736307185449,0.543778153153153,0.40025079008129855,0.11277182930993089,0.12259769810811427,0.09617290170541201,3.9724042348391895,1.492388817709736,0.21036046827308383,-0.12422456548233074,0.4112792916260397,False,3,2,False,0.25,0.0,0.16436633404260664,True
3-2,test,phase_accuracy,False,0.0007815552950372062,0.8933177022274327,0.8925361469323955,0.0030480656506447833,0.004401065486612282,0.0030908511032880248,3.5597752452524927,0.2528608687121141,0.8142937019398749,-0.0082352092672193,0.009798319857293713,False,3,2,False,0.25,-0.02181959867523864,0.03411086029596189,True
3-2,test,phase_macro_f1,False,-0.01761326346147163,0.7339465667327443,0.7515598301942159,0.014943698644097581,0.008856535995462286,0.010029163458044462,3.2506830333448207,-1.7562046460957725,0.17019294055899276,-0.04818227971080014,0.012955752787856885,False,3,2,False,0.25,-0.05240435741067895,0.002530801082377021,True
3-2,test,anesthesia,False,-0.020585646082273645,0.9567193278983672,0.9773049739806409,0.007877200558881409,0.02519760601205602,0.015242152487795627,2.3872192651664887,-1.350573424505269,0.29058184768884704,-0.0769576175744873,0.035786325409940006,False,3,1,False,0.25,-0.07721174108075946,0.015576323987538943,True
3-2,test,closure,True,-4.7398695040001826e-05,0.9431198926046475,0.9431672912996875,0.0024573703369277743,0.0012668581651043484,0.0015962036820013582,2.99296213770574,-0.029694640837171993,0.9781796700979524,-0.005133995477840618,0.005039198087760615,False,3,2,False,0.25,-0.013090577986478391,0.025598744819478214,True
3-2,test,design,False,-0.0477127415278481,0.9351432880844645,0.9828560296123126,0.05974450172047772,0.01724220478992828,0.03590124933687773,2.3308623499430157,-1.3289994752031544,0.2989712845223747,-0.18296166527225335,0.08753618221655715,False,3,1,False,0.25,-0.09108370229812346,0.0,True
3-2,test,disinfection,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,0,False,0.25,0.0,0.0,True
3-2,test,dissection,False,0.014095598994312009,0.8433495594037831,0.8292539604094711,0.005378098801227782,0.013190974733142192,0.008224470826465846,2.6470327686856425,1.7138609026313558,0.19710957348438404,-0.014167968171014258,0.04235916615963828,False,3,2,False,0.25,-0.030405077668518743,0.05836689323153854,True
3-2,test,dressing,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,0,False,0.25,0.0,0.0,True
