rule,split,metric,system,k_seeds,n_reps,var_within_seed,var_between_seed,var_between_seed_raw,clipped_to_zero,ICC,sd_within,sd_between,within_exceeds_between
R-last,test,phase_macro_f1,base,3,3,3.722033746573897e-05,0.000186061800423769,0.000186061800423769,False,0.8333035601613703,0.006100847274415166,0.013640447222278636,False
R-last,test,phase_macro_f1,bboxROI,3,3,3.1154056796983065e-05,6.760513433670287e-05,6.760513433670287e-05,False,0.684545241416455,0.005581581926029848,0.008222234145091155,False
R-last,test,phase_macro_f1,maskROI,3,3,3.6826457955670384e-05,0.0,-4.462488093319773e-06,True,0.0,0.006068480695830743,0.0,True
R-last,test,phase_macro_f1,randROI,3,3,3.2997613104728786e-05,0.0,-3.0976824148072617e-06,True,0.0,0.005744354890214286,0.0,True
R-last,test,phase_macro_f1,shuffleROI,3,3,9.058869139578529e-05,7.727681131270477e-05,7.727681131270477e-05,False,0.4603495659671138,0.009517809169960558,0.008790723025593786,True
R-last,test,phase_macro_f1,handROIbbox2,3,3,8.129749034752737e-06,0.00011992196148961824,0.00011992196148961824,False,0.9365119840925088,0.002851271476859532,0.0109508886164374,False
R-last,test,phase_macro_f1,handROImask2,3,3,9.921427925574853e-05,0.0002308798002435003,0.0002308798002435003,False,0.6994363564282761,0.009960636488485488,0.015194729357362715,False
R-last,test,phase_macro_f1,bboxROI_handROIbbox2,3,3,5.190251248947235e-05,3.1265472660229328e-06,3.1265472660229328e-06,False,0.05681629451629348,0.007204339837172616,0.0017682045317278577,True
R-loss,val,phase_accuracy,base,3,3,2.7109421613228535e-06,5.502567125065961e-06,5.502567125065961e-06,False,0.6699410609037301,0.0016464938995704944,0.002345755128965076,False
R-loss,val,phase_accuracy,bboxROI,3,3,2.565713116966223e-06,4.130959483920359e-06,4.130959483920359e-06,False,0.6168674698795124,0.0016017843540771096,0.002032476195166959,False
R-loss,val,phase_accuracy,maskROI,3,3,4.840968145219317e-07,8.568513617038452e-06,8.568513617038452e-06,False,0.9465240641711244,0.0006957706623032705,0.0029272023532783743,False
R-loss,val,phase_accuracy,randROI,3,3,1.6459291693746052e-06,1.079535896383877e-05,1.079535896383877e-05,False,0.8677042801556362,0.0012829377106370384,0.0032856291579907142,False
R-loss,val,phase_accuracy,shuffleROI,3,3,5.857571455715416e-06,2.2123224423652857e-05,2.2123224423652857e-05,False,0.7906574394463699,0.002420242024202418,0.004703533185133581,False
R-loss,val,phase_accuracy,handROIbbox2,3,3,3.8727745161752257e-07,2.1138894234124712e-06,2.1138894234124712e-06,False,0.8451612903225906,0.000622316199064047,0.001453922082992232,False
R-loss,val,phase_accuracy,handROImask2,3,3,5.809161774263245e-07,2.9691271290680584e-06,2.9691271290680584e-06,False,0.8363636363636446,0.0007621785731876255,0.001723115529808741,False
