experiment_id,metric,dedup_rule,delta,pstd,ratio_pstd,same_sign,verdict_pstd
transfer/b2a_oracle_mask_12/b2a_oracle_mask_12@val~relation_detr_seed42,accuracy,mean,0.060996385352821036,0.005327785959080135,11.448730452255692,True,significant
transfer/b2a_oracle_mask_13/b2a_oracle_mask_13@val~relation_detr_seed42,accuracy,first,0.0580858085808581,0.0037338971943843605,15.556349186104253,True,significant
transfer/b2a_oracle_mask_13/b2a_oracle_mask_13@val~relation_detr_seed42,accuracy,latest,0.05896589658965897,0.0067815335566215286,8.695068172608883,True,significant
transfer/b2a_oracle_mask_13/b2a_oracle_mask_13@val~relation_detr_seed42,accuracy,mean,0.059896275341819925,0.004348659218506229,13.773504046241266,True,significant
transfer/b2a_oracle_mask_14/b2a_oracle_mask_14@val~relation_detr_seed42,accuracy,first,0.058965896589659006,0.003506573696481668,16.815815577702708,True,significant
transfer/b2a_oracle_mask_14/b2a_oracle_mask_14@val~relation_detr_seed42,accuracy,latest,0.05984598459845988,0.007115934710141378,8.410136831802223,True,significant
transfer/b2a_oracle_mask_14/b2a_oracle_mask_14@val~relation_detr_seed42,accuracy,mean,0.06077636335062083,0.003987969936401281,15.239925154868404,True,significant
transfer/b2a_oracle_mask_top3_joint/b2a_oracle_mask_top3_joint@val~relation_detr_seed42,accuracy,first,0.022222222222222254,0.0017324549777803842,12.827012827019201,True,significant
transfer/b2a_oracle_mask_top3_joint/b2a_oracle_mask_top3_joint@val~relation_detr_seed42,accuracy,latest,0.02310231023102312,0.0019431817087630211,11.888908858518151,True,significant
transfer/b2a_oracle_mask_top3_joint/b2a_oracle_mask_top3_joint@val~relation_detr_seed42,accuracy,mean,0.024032688983184076,0.0015309019798808424,15.698385199720402,True,significant
transfer/b2a_refin_both/b2a_refin_both@val~relation_detr_seed42,accuracy,first,0.061386138613861406,0.005141175553596452,11.940097741054458,True,significant
transfer/b2a_refin_both/b2a_refin_both@val~relation_detr_seed42,accuracy,latest,0.06226622662266227,0.007999849928579944,7.783424336525669,True,significant
transfer/b2a_refin_both/b2a_refin_both@val~relation_detr_seed42,accuracy,mean,0.06319660537482323,0.005759902651589114,10.971818309704897,True,significant
transfer/b2a_refin_empty/b2a_refin_empty@val~relation_detr_seed42,accuracy,first,0.00550055005500553,0.005122308790681096,1.0738419489689026,False,not_significant
transfer/b2a_refin_empty/b2a_refin_empty@val~relation_detr_seed42,accuracy,latest,0.006380638063806399,0.002040400109019896,3.1271504228998164,True,significant
transfer/b2a_refin_empty/b2a_refin_empty@val~relation_detr_seed42,accuracy,mean,0.007311016815967353,0.004649030044803696,1.5725897112966623,True,significant
transfer/b2a_refin_oracle/b2a_refin_oracle@val~relation_detr_seed42,accuracy,first,0.06006600660066008,0.004277716632612453,14.041604846550355,True,significant
transfer/b2a_refin_oracle/b2a_refin_oracle@val~relation_detr_seed42,accuracy,latest,0.06094609460946095,0.007551596172378702,8.07062417246066,True,significant
transfer/b2a_refin_oracle/b2a_refin_oracle@val~relation_detr_seed42,accuracy,mean,0.06187647336162191,0.004864776546878684,12.71928376675858,True,significant
transfer/b2a_refin_pred/b2a_refin_pred@val~relation_detr_seed42,accuracy,first,0.03740374037403745,0.0016464938995704895,22.717205562556128,True,significant
transfer/b2a_refin_pred/b2a_refin_pred@val~relation_detr_seed42,accuracy,latest,0.038283828382838316,0.0040689201339729735,9.408842425584115,True,significant
transfer/b2a_refin_pred/b2a_refin_pred@val~relation_detr_seed42,accuracy,mean,0.03921420713499927,0.002204132037788486,17.791224147508338,True,significant
transfer/b2a_regiononly_mask_00/b2a_regiononly_mask_00@val~relation_detr_seed42,accuracy,first,0.027062706270627086,0.001866948597192154,14.495689014324629,True,significant
transfer/b2a_regiononly_mask_00/b2a_regiononly_mask_00@val~relation_detr_seed42,accuracy,latest,0.027942794279427956,0.005122308790681096,5.455117100761998,True,significant
transfer/b2a_regiononly_mask_00/b2a_regiononly_mask_00@val~relation_detr_seed42,accuracy,mean,0.02887317303158891,0.002482715510375457,11.629674407287393,True,significant
