experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,macro_f1,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.08698775107211942,0.0094381210154635,0.011559290309262098,9.21663866458143,7.5253539572770185,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,seg_f1_10,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.019644815928462234,0.025724095103138715,0.03150545354875863,0.7636737405027428,0.623536998064777,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,seg_f1_25,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.030866416952968323,0.026494282226387993,0.03244873627797002,1.1650218220377278,0.9512363343999944,False,not_significant,not_significant,True,全 seed 同符号ではない
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,seg_f1_50,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.05413817975396812,0.023148567571072996,0.02835108941273331,2.3387269898125567,1.9095625909053453,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03041332704699044,0.006244291221993858,0.007647663649612496,4.8705811381550514,3.976812846434672,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,edit_score,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,-1.4298063478539216,1.8413654256649785,2.255202861440973,0.7764924484435624,0.6340034292703672,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,jaccard,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.08597394439749621,0.01048136090828419,0.012836993017625349,8.202555483949102,6.69735850751441,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,macro_f1,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.07644223191984663,0.010319885385532513,0.012639226699279959,7.40727528108125,6.0480149409933,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,seg_f1_10,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.004995385034494278,0.010430961892767753,0.012775267081848406,0.4788997492127547,0.3910200078393597,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,seg_f1_25,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.0056763449552892364,0.0029122021139472874,0.0035667046035126847,1.9491589983070734,1.5914816578022366,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,seg_f1_50,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.047309416313575325,0.02242186439553077,0.027461063425463984,2.1099679972645475,1.7227816556334246,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04009429514380014,0.0035583477472134507,0.004358068154027488,11.26767196241516,9.200015632327178,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,edit_score,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,3.0021562830251205,1.646448205423315,2.0164789956040905,1.823413741857274,1.4888110858430954,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,jaccard,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.1138918214728134,0.006889019373268601,0.008437291146328017,16.532370617906345,13.49862408415053,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,macro_f1,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.09699497881105867,0.008544980651752672,0.010465421229374442,11.351105726747774,9.268139015638688,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,seg_f1_10,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04222785613266411,0.012036205023502559,0.014741280373552438,3.5084028603872786,2.8645989400232676,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,seg_f1_25,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.0531978848301262,0.006881754148384365,0.008428393099411543,7.730279763425654,6.311746996451838,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,seg_f1_50,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.09871522231103287,0.007202110171373092,0.008820747495586393,13.706430471364571,11.191253616592773,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
