experiment_id,group,step,n_runs,n_seeds,sigma_source,sigma_interpretation,determinism_class,n_runs_det,n_runs_nondet,entrypoints,n_verdicts,n_significant
transfer/b2a_regiononly_mask_07/b2a_regiononly_mask_07@val~relation_detr_seed42,transfer,b2a_regiononly_mask_07,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,4
transfer/b2a_regiononly_mask_08/b2a_regiononly_mask_08@val~relation_detr_seed42,transfer,b2a_regiononly_mask_08,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_regiononly_mask_09/b2a_regiononly_mask_09@val~relation_detr_seed42,transfer,b2a_regiononly_mask_09,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_regiononly_mask_10/b2a_regiononly_mask_10@val~relation_detr_seed42,transfer,b2a_regiononly_mask_10,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_regiononly_mask_11/b2a_regiononly_mask_11@val~relation_detr_seed42,transfer,b2a_regiononly_mask_11,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,4
transfer/b2a_regiononly_mask_12/b2a_regiononly_mask_12@val~relation_detr_seed42,transfer,b2a_regiononly_mask_12,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_regiononly_mask_13/b2a_regiononly_mask_13@val~relation_detr_seed42,transfer,b2a_regiononly_mask_13,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_regiononly_mask_14/b2a_regiononly_mask_14@val~relation_detr_seed42,transfer,b2a_regiononly_mask_14,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_regiononly_oracle/b2a_regiononly_oracle@val~relation_detr_seed42,transfer,b2a_regiononly_oracle,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_regiononly_oracle_mask_top3/b2a_regiononly_oracle_mask_top3@val~relation_detr_seed42,transfer,b2a_regiononly_oracle_mask_top3,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_regiononly_pred/b2a_regiononly_pred@val~relation_detr_seed42,transfer,b2a_regiononly_pred,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_ro_oracle_bipolarnoise_p010/b2a_ro_oracle_bipolarnoise_p010@val~relation_detr_seed42,transfer,b2a_ro_oracle_bipolarnoise_p010,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_ro_oracle_bipolarnoise_p020/b2a_ro_oracle_bipolarnoise_p020@val~relation_detr_seed42,transfer,b2a_ro_oracle_bipolarnoise_p020,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_ro_oracle_bipolarnoise_p030/b2a_ro_oracle_bipolarnoise_p030@val~relation_detr_seed42,transfer,b2a_ro_oracle_bipolarnoise_p030,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_ro_oracle_bsnoise_p010/b2a_ro_oracle_bsnoise_p010@val~relation_detr_seed42,transfer,b2a_ro_oracle_bsnoise_p010,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_ro_oracle_bsnoise_p020/b2a_ro_oracle_bsnoise_p020@val~relation_detr_seed42,transfer,b2a_ro_oracle_bsnoise_p020,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_ro_oracle_bsnoise_p030/b2a_ro_oracle_bsnoise_p030@val~relation_detr_seed42,transfer,b2a_ro_oracle_bsnoise_p030,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_ro_oracle_nhnoise_p010/b2a_ro_oracle_nhnoise_p010@val~relation_detr_seed42,transfer,b2a_ro_oracle_nhnoise_p010,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_ro_oracle_nhnoise_p020/b2a_ro_oracle_nhnoise_p020@val~relation_detr_seed42,transfer,b2a_ro_oracle_nhnoise_p020,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_ro_oracle_nhnoise_p030/b2a_ro_oracle_nhnoise_p030@val~relation_detr_seed42,transfer,b2a_ro_oracle_nhnoise_p030,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
