# AUTO-GENERATED by `make context`. DO NOT EDIT. generated_from=runindex/ generated_from_digest=4fd482eac961
experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
transfer/b2a_regiononly_mask_12/b2a_regiononly_mask_12@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04889517523180894,0.002376254254241005,0.0029103052110041163,20.576575568268243,16.800703598692,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_13/b2a_regiononly_mask_13@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.0497752632406098,0.0038492546137661246,0.004714354846890473,12.93114336022306,10.558234341108395,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_14/b2a_regiononly_mask_14@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04933521923620939,0.0038988808991434467,0.004775134385392564,12.653687176504404,10.331692315744858,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_oracle/b2a_regiononly_oracle@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.06979726544082983,0.0034409674859213354,0.004214307281007365,20.284197896784626,16.561978229586018,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_oracle_mask_top3/b2a_regiononly_oracle_mask_top3@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,-0.01799151343705796,0.006913679817713396,0.008467493899188017,2.6023064289095768,2.12477430173091,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_pred/b2a_regiononly_pred@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04889517523180894,0.004505803985640211,0.00551846032290863,10.851598380141613,8.860292974986477,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_ro_oracle_bipolarnoise_p010/b2a_ro_oracle_bipolarnoise_p010@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.060996385352821036,0.0038492546137660877,0.004714354846890428,15.846284923496535,12.938437460441493,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_ro_oracle_bipolarnoise_p020/b2a_ro_oracle_bipolarnoise_p020@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.05549583529781551,0.00467040165492431,0.005720050474207338,11.882454529216478,9.701983496134428,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_ro_oracle_bipolarnoise_p030/b2a_ro_oracle_bipolarnoise_p030@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.049995285242810016,0.003415550085409363,0.0041831774500862215,14.637550026387022,11.951509549703548,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_ro_oracle_bsnoise_p010/b2a_ro_oracle_bsnoise_p010@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.05571585730001575,0.0009308458630908185,0.0011400486968765572,59.85508397170564,48.87147141403959,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_ro_oracle_bsnoise_p020/b2a_ro_oracle_bsnoise_p020@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04295458117240299,0.003778536610494403,0.0046277433350683786,11.36804683937748,9.281971376177955,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_ro_oracle_bsnoise_p030/b2a_ro_oracle_bsnoise_p030@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.018972182932579,0.0024011525948583984,0.0029407993259814294,7.9012816483234944,6.451369450803121,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_ro_oracle_nhnoise_p010/b2a_ro_oracle_nhnoise_p010@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.07067735344963073,0.002642478285412953,0.003236361727823154,26.746616553023305,21.83852096692845,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
