p,L,n_seeds,n_vids,err_rate_actual,mean_run_len,d_acc,se_acc,eff_acc,neg_acc,d_edit,se_edit,eff_edit,neg_edit,d_mF1,se_mF1,eff_mF1,neg_mF1,d_segF50,se_segF50,eff_segF50,neg_segF50,selectivity,sel_sstd,sel_min,sel_max,denom_eff,sel_per_seed
0.02,8,3,15,0.019547551697580847,7.978322566657391,-0.03992660438373933,0.005067532334822631,7.878904710558063,15,-20.47880560546096,5.185812784548863,3.949005962281861,15,-0.07103067450187862,0.00951095048965509,7.468304516897398,15,-0.2014231740751076,0.04557294212408909,4.419797465054131,15,5.129112761164643,0.3781054286250289,4.904828536920817,5.600469347669001,7.878904710558063,5.600469|4.995834|4.904829
0.02,16,3,15,0.019209259139297358,15.79074181365063,-0.05091771149289613,0.007108361953694741,7.163072424362189,15,-16.566355915656022,4.869198934668248,3.402275433378804,14,-0.08138593740362106,0.011309465662421902,7.19626725372562,15,-0.16700777691439703,0.041905703487219524,3.985323309638063,15,3.2535546924506424,0.22352572474327692,3.1156094303884463,3.5163651735853976,7.163072424362189,3.516365|3.144414|3.115609
0.02,32,3,15,0.019104172514809295,31.52277297688076,-0.055901573957781434,0.00719444462414858,7.770102749855699,15,-14.25206668591486,4.652157690429017,3.063539035926478,14,-0.08307914501797148,0.011826854646517443,7.024618759683084,14,-0.14266466015745416,0.03964396708144936,3.598647427598419,15,2.549492917082881,0.26198043653310477,2.284441418880201,2.7884524703633353,7.770102749855699,2.788452|2.284441|2.660467
0.02,64,3,15,0.018000043186284037,60.979351923207986,-0.058440487770729015,0.010791908380705735,5.41521348302137,15,-9.471280228383943,3.1618246808763106,2.995510878787544,13,-0.07876774683816194,0.013617757025607807,5.784193879362175,15,-0.11063207375648773,0.028695693401984173,3.855354606933389,14,1.6206709748113717,0.682400582703071,1.123403278809803,2.4823379254652123,5.41521348302137,1.123403|1.693399|2.482338
0.05,1,3,15,0.050657511174451,1.054733235389537,-0.039806365634375694,0.007572087029715334,5.256987337594319,13,-39.979481752849125,5.920112595593791,6.753162394682319,15,-0.09044627070011296,0.017451624391328732,5.182684927888627,14,-0.4036407675482782,0.05641456288726268,7.154903749850954,15,10.043489556435148,0.6239914490695384,9.40700156769678,10.638350391058514,5.256987337594319,10.638350|9.407002|10.198548
0.05,2,3,15,0.04992766297423938,2.051407520666599,-0.063164939128831,0.00826699213892423,7.640619232166168,14,-40.95999690374174,6.063527368690833,6.755143403036268,15,-0.11712475496315036,0.014918276945419844,7.851091341960211,15,-0.4183394002646918,0.05879932323266218,7.1146975384286435,15,6.484609574339946,0.15110010765327214,6.314926512113614,6.593251556758394,7.640619232166168,6.314927|6.556045|6.593252
0.05,4,3,15,0.049312978198124274,4.0463565800479335,-0.09454709125037507,0.009818845616101614,9.629145313714913,15,-37.9719389067017,5.892158861973481,6.4444866128377996,15,-0.15970468019829018,0.01622989139759767,9.840157046394623,15,-0.3915053418267509,0.05625401497021841,6.959598208839294,15,4.016193243443761,0.1925361364697067,3.8313553398992197,4.2162574745834,9.629145313714913,4.013894|3.831355|4.216257
0.05,8,3,15,0.04904090460869628,8.027181664089479,-0.10784493733236195,0.009506106669111683,11.344806142643435,15,-32.892422664722766,5.716942335022108,5.753499114941758,15,-0.16519357123803954,0.018220510724192982,9.066352405736763,15,-0.3465109667941205,0.05191219830834425,6.674943040091275,15,3.0499737380673926,0.31596414822051183,2.72747210910226,3.3389162517363227,11.344806142643435,3.338916|3.171404|2.727472
0.05,16,3,15,0.047935335737369814,15.894271632705232,-0.11052440420841535,0.00929143276637849,11.895302585447679,15,-25.250422793195803,5.396028678852694,4.679445624919206,15,-0.1715271482148556,0.01751158866446261,9.795064942505567,15,-0.2751922604811681,0.04761418214788834,5.779628002985088,15,2.284601575013352,0.16561148256602173,2.1275484093671584,2.4586531513321717,11.895302585447679,2.127548|2.458653|2.285437
0.05,32,3,15,0.046697328928332366,31.31180820962162,-0.12238031690374748,0.013879285579396595,8.817479560001098,15,-19.770569707401457,4.923864744537747,4.01525442577069,15,-0.16870245023965313,0.020325982564900882,8.299842317633898,15,-0.2256932149272645,0.044830645723804796,5.034351196226977,15,1.6155024114663041,0.05678495246544744,1.5823233388325155,1.682538706681914,8.817479560001098,1.586157|1.582323|1.682539
